# Module inline-string scan: 3025 hits, 1877 unique printable

CALL_ADDR    L   STRING
0x1801fbd85  17  'PROP_ARCADE_GAR1'
0x1801fbddf  17  'MULTI_PROPERTY_6'
0x1801fbe39  17  'MULTI_PROPERTY_7'
0x1801fbf02  25  'PROP_SECURITY_OFFICE_GAR'
0x1801fbf5c  17  'MULTI_PROPERTY_8'
0x1801fbfb6  17  'MULTI_PROPERTY_9'
0x1801fc01e  21  'MULTSTOREY_GAR_OWNED'
0x1801fc082  17  'PROP_BAIL_OFFICE'
0x1801fc531   2  <bin> cfa7
0x1801fc565   2  <bin> 00d8
0x1801fc599   2  '0\n'
0x1801fc5cd   2  'a;'
0x1801fc601   2  <bin> 916c
0x1801fc635   2  <bin> c29d
0x1801fc669   2  <bin> f2cf
0x1801fc69d   2  <bin> bb99
0x1801fc6d1   2  <bin> ebcb
0x1801fde89   2  <bin> 88cc
0x1801fdebd   2  <bin> 6c9c
0x1801fe6a2   2  <bin> a215
0x1801fe6d6   2  <bin> 3bae
0x1801fe70a   2  <bin> d347
0x1801fe73e   2  <bin> 6be0
0x1801fe772   2  <bin> 0379
0x1801fe7a6   2  <bin> 9c11
0x1801fe7da   2  <bin> 34aa
0x1801fe80e   2  <bin> cd43
0x1801fe842   2  <bin> 64dc
0x180212a52  20  'Vehicle Model Flags'
0x180212e80   1  ''
0x1802134f7   5  'Mass'
0x180213a38   2  <bin> 0af1
0x180214345   2  <bin> 062f
0x1802149fd  17  'Down Shift Scale'
0x180215941  19  'Handbrake Strength'
0x180216b32  22  'Offroad Traction Loss'
0x180216f2a  29  'Low Speed Burnout Multiplier'
0x1802171c4  62  <bin> e05da0d531848b10594a9826469904e27fd6d06de819cfebe259a4e1baa190a1b5e95dce2154dbf85c5b1b654cba5718e18778492fbb6d21248d51c1816a
0x180217460  42  <bin> 448f1d7398ca6d32e21a349aeee52124d33a80f9cd7f090609e1aeeef618be937b7b99b81a2b55366dc3
0x1802178e8  28  'Spring Comp Dampen Strength'
0x18021806b  23  'Suspension Upper Limit'
0x1802183a6  23  'Suspension Lower Limit'
0x18021874e  17  'Suspension Raise'
0x180219648  17  'Rollcentre Front'
0x180219d05  28  'Collision Damage Multiplier'
0x180219f82  25  'Weapon Damage Multiplier'
0x18021a231  30  'Deformation Damage Multiplier'
0x18021a4ae  25  'Engine Damage Multiplier'
0x18021a72b  22  'Rocket Boost Capacity'
0x18021c989   1  ''
0x18021ca02  29  'Braking Stability Multiplier'
0x18021caa3   1  ''
0x18021cb15  27  'In Air Steering Multiplier'
0x18021cbb6   1  ''
0x18021cc14  22  'Wheelie Balance Point'
0x18021ccb5   1  ''
0x18021cd13  22  'Stoppie Balance Point'
0x18021cdb4   1  ''
0x18021ce27  28  'Wheelie Steering Multiplier'
0x18021cec8   1  ''
0x18021cf2d  24  'Rear Balance Multiplier'
0x18021cfce   1  ''
0x18021d039  25  'Front Balance Multiplier'
0x18021d0da   1  ''
0x18021d16f  37  'Bike Ground Side Friction Multiplier'
0x18021d210   1  ''
0x18021d35b   1  ''
0x18021d3c6  25  'Bike On Stand Lean Angle'
0x18021d467   1  ''
0x18021d4d3  26  'Bike On Stand Steer Angle'
0x18021d574   1  ''
0x18021e5c9  21  'Side Slip Multiplier'
0x18021e66a   1  ''
0x18021e6ce  23  'Initial Yaw Multiplier'
0x18021e76b   1  ''
0x18021e851   1  ''
0x18021e8a7  19  'Roll Stabilisation'
0x18021e944   1  ''
0x18021e9a9  24  'Initial Roll Multiplier'
0x18021ea46   1  ''
0x18021ea95  17  'Pitch Multiplier'
0x18021eb32   1  ''
0x18021eb88  19  'PitchStabilisation'
0x18021ec25   1  ''
0x18021ec90  25  'Initial Pitch Multiplier'
0x18021ed2d   1  ''
